"species","RCP","OA","meanlatinit","meanslope","decshift"
690151,"R85","N",7.09994172377839,0.0243472434635337,27.0254402445225
690151,"R85","Y",7.09964037404357,0.0242355246048631,26.901432311398
690156,"R85","N",49.6958877166212,-0.00774875966778939,-8.60112323124622
690156,"R85","Y",49.6939058448437,-0.00789904265610317,-8.76793734827452
690157,"R85","N",32.2229428987783,0.00590070192322886,6.54977913478404
690157,"R85","Y",32.2337986942021,0.00595433800747735,6.60931518829986
690158,"R85","N",19.4335642408489,-0.0136683627998365,-15.1718827078185
690158,"R85","Y",19.4334489309581,-0.0136532196779215,-15.1550738424928
690161,"R85","N",-36.5024950364199,-0.00523500404690495,-5.81085449206449
690161,"R85","Y",-36.5025142139329,-0.00516596832648147,-5.73422484239443
690163,"R85","N",2.5804279958185,0.026339590165627,29.236945083846
690163,"R85","Y",2.58009227567396,0.0257360511027539,28.5670167240568
690166,"R85","N",34.2702458028516,-0.0198211269981454,-22.0014509679414
690166,"R85","Y",34.2705289181192,-0.00878969686273991,-9.7565635176413
690168,"R85","N",5.66005095958377,-0.011304321731194,-12.5477971216253
690168,"R85","Y",5.67034946167399,-0.0114777436197414,-12.7402954179129
690169,"R85","N",28.1640356343376,0.00711483645653365,7.89746846675235
690169,"R85","Y",28.1647865802235,0.00852573415329204,9.46356491015416
690176,"R85","N",32.5474827388703,0.00737117869778232,8.18200835453838
690176,"R85","Y",32.5473729368404,0.00737695165760255,8.18841633993883
690180,"R85","N",28.3861909156754,0.0112643293824103,12.5034056144754
690180,"R85","Y",28.3861917536406,0.0126221719152287,14.0106108259039
690185,"R85","N",52.6360461743504,0.00136410751217602,1.51415933851538
690185,"R85","Y",52.6359016233913,0.00124310598006441,1.37984763787149
690189,"R85","N",NA,NA,NA
690189,"R85","Y",NA,NA,NA
690190,"R85","N",-0.112987479285635,0.0187933551302786,20.8606241946093
690190,"R85","Y",-0.114100293098698,0.0182795624469734,20.2903143161404
690194,"R85","N",NA,NA,NA
690194,"R85","Y",NA,NA,NA
690196,"R85","N",32.6398476264474,-0.000576365808328777,-0.639766047244942
690196,"R85","Y",32.6398363920569,0.00320771855682276,3.56056759807327
690198,"R85","N",40.3277319066628,0.0839421392798264,93.1757746006073
690198,"R85","Y",40.3289824755073,0.0840269213354321,93.2698826823297
690199,"R85","N",31.8619095409049,0.0129647101894832,14.3908283103263
690199,"R85","Y",31.861841217056,0.0129617907367812,14.3875877178271
690201,"R85","N",31.3469036419653,0.00250448948827286,2.77998333198288
690201,"R85","Y",31.3462660703971,0.00288632933949121,3.20382556683524
690203,"R85","N",42.0234026579495,0.00636949846037979,7.07014329102156
690203,"R85","Y",42.0225757209372,0.00595238136507276,6.60714331523077
690205,"R85","N",-30.3126552095011,0.000924530912321931,1.02622931267734
690205,"R85","Y",-30.3117855966959,0.000945299227310432,1.04928214231458
