"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,1951,"R26",-3.32172975143716,-3.32172975143716,-1.48705544422782,206
0,1951,"R85",-3.32172975143716,-3.32172975143716,-1.48705544422782,206
0,1952,"R26",-2.22331709645302,-2.22331709645302,-1.06000296077356,206
0,1952,"R85",-2.22331709645302,-2.22331709645302,-1.06000296077356,206
0,1953,"R26",-1.3753932033825,-1.3753932033825,-0.647529936121187,206
0,1953,"R85",-1.3753932033825,-1.3753932033825,-0.647529936121187,206
0,1954,"R26",-0.660029239765018,-0.660029239765018,-0.269986958823423,206
0,1954,"R85",-0.660029239765018,-0.660029239765018,-0.269986958823423,206
0,1955,"R26",0,0,0,206
0,1955,"R85",0,0,0,206
0,1956,"R26",1.95750255306231,1.95750255306231,0.915070365174989,206
0,1956,"R85",1.95750255306231,1.95750255306231,0.915070365174989,206
0,1957,"R26",3.45299775884795,3.45299775884795,1.60887854693668,206
0,1957,"R85",3.45299775884795,3.45299775884795,1.60887854693668,206
0,1958,"R26",4.52548207225793,4.52548207225793,2.17337140973132,206
0,1958,"R85",4.52548207225793,4.52548207225793,2.17337140973132,206
0,1959,"R26",5.27668617513194,5.27668617513194,2.56890105157059,206
0,1959,"R85",5.27668617513194,5.27668617513194,2.56890105157059,206
0,1960,"R26",5.82011072543787,5.82011072543787,3.01420199401011,206
0,1960,"R85",5.82011072543787,5.82011072543787,3.01420199401011,206
0,1961,"R26",6.28800881311668,6.28800881311668,3.25105625556759,206
0,1961,"R85",6.28800881311668,6.28800881311668,3.25105625556759,206
0,1962,"R26",6.5463139318155,6.5463139318155,3.40618757987013,206
0,1962,"R85",6.5463139318155,6.5463139318155,3.40618757987013,206
0,1963,"R26",6.87291217109783,6.87291217109783,3.47048262509886,206
0,1963,"R85",6.87291217109783,6.87291217109783,3.47048262509886,206
0,1964,"R26",7.12459448590593,7.12459448590593,3.73477247764305,206
0,1964,"R85",7.12459448590593,7.12459448590593,3.73477247764305,206
0,1965,"R26",7.20760910810666,7.20760910810666,3.78222131221915,206
0,1965,"R85",7.20760910810666,7.20760910810666,3.78222131221915,206
0,1966,"R26",7.26299910787511,7.26299910787511,4.03500720657203,206
0,1966,"R85",7.26299910787511,7.26299910787511,4.03500720657203,206
0,1967,"R26",7.3071326089803,7.3071326089803,4.00500826929999,206
0,1967,"R85",7.3071326089803,7.3071326089803,4.00500826929999,206
0,1968,"R26",7.3104064022375,7.3104064022375,3.93598905704953,206
0,1968,"R85",7.3104064022375,7.3104064022375,3.93598905704953,206
0,1969,"R26",7.29993736705092,7.29993736705092,4.00677201599643,206
0,1969,"R85",7.29993736705092,7.29993736705092,4.00677201599643,206
0,1970,"R26",7.23471103620223,7.23471103620223,4.10742283830526,206
0,1970,"R85",7.23471103620223,7.23471103620223,4.10742283830526,206
0,1971,"R26",7.23214835922326,7.23214835922326,4.20644033939254,206
0,1971,"R85",7.23214835922326,7.23214835922326,4.20644033939254,206
0,1972,"R26",7.24743414537608,7.24743414537608,4.27243759787683,206
0,1972,"R85",7.24743414537608,7.24743414537608,4.27243759787683,206
0,1973,"R26",7.28504926037162,7.28504926037162,4.40019248084738,206
0,1973,"R85",7.28504926037162,7.28504926037162,4.40019248084738,206
0,1974,"R26",7.19453150737617,7.19453150737617,4.42237428524144,206
0,1974,"R85",7.19453150737617,7.19453150737617,4.42237428524144,206
0,1975,"R26",7.23131320527351,7.23131320527351,4.47632683439863,206
0,1975,"R85",7.23131320527351,7.23131320527351,4.47632683439863,206
0,1976,"R26",7.22105765398997,7.22105765398997,4.50408155817959,206
0,1976,"R85",7.22105765398997,7.22105765398997,4.50408155817959,206
0,1977,"R26",7.22227118951359,7.22227118951359,4.632304187665,206
0,1977,"R85",7.22227118951359,7.22227118951359,4.632304187665,206
0,1978,"R26",7.26087130968732,7.26087130968732,4.69078736437778,206
0,1978,"R85",7.26087130968732,7.26087130968732,4.69078736437778,206
0,1979,"R26",7.17895735541001,7.17895735541001,4.80891933108652,206
0,1979,"R85",7.17895735541001,7.17895735541001,4.80891933108652,206
0,1980,"R26",7.00834124934453,7.00834124934453,4.75172675382333,206
0,1980,"R85",7.00834124934453,7.00834124934453,4.75172675382333,206
0,1981,"R26",6.91717687556959,6.91717687556959,4.67835920167552,206
0,1981,"R85",6.91717687556959,6.91717687556959,4.67835920167552,206
0,1982,"R26",6.64240264316332,6.64240264316332,4.37631506371385,206
0,1982,"R85",6.64240264316332,6.64240264316332,4.37631506371385,206
0,1983,"R26",6.30887167562787,6.30887167562787,4.16044186769709,206
0,1983,"R85",6.30887167562787,6.30887167562787,4.16044186769709,206
0,1984,"R26",6.23302375139101,6.23302375139101,4.10418006350753,206
0,1984,"R85",6.23302375139101,6.23302375139101,4.10418006350753,206
0,1985,"R26",6.0806149427814,6.0806149427814,4.03408571111534,206
0,1985,"R85",6.0806149427814,6.0806149427814,4.03408571111534,206
0,1986,"R26",5.78182524800138,5.78182524800138,3.80860182257525,206
0,1986,"R85",5.78182524800138,5.78182524800138,3.80860182257525,206
0,1987,"R26",5.64155487109047,5.64155487109047,3.58903426130723,206
0,1987,"R85",5.64155487109047,5.64155487109047,3.58903426130723,206
0,1988,"R26",5.58531984565599,5.58531984565599,3.5356056758891,206
0,1988,"R85",5.58531984565599,5.58531984565599,3.5356056758891,206
0,1989,"R26",5.43850668810317,5.43850668810317,3.29960289908133,206
0,1989,"R85",5.43850668810317,5.43850668810317,3.29960289908133,206
0,1990,"R26",5.36525766806152,5.36525766806152,3.39866939376842,206
0,1990,"R85",5.36525766806152,5.36525766806152,3.39866939376842,206
0,1991,"R26",5.12895659552193,5.12895659552193,2.88761377153642,206
0,1991,"R85",5.12895659552193,5.12895659552193,2.88761377153642,206
0,1992,"R26",5.17156940176618,5.17156940176618,2.99428151940155,206
0,1992,"R85",5.17156940176618,5.17156940176618,2.99428151940155,206
0,1993,"R26",5.12745987296484,5.12745987296484,3.1149873456038,206
0,1993,"R85",5.12745987296484,5.12745987296484,3.1149873456038,206
0,1994,"R26",4.99737599892509,4.99737599892509,3.02006762883573,206
0,1994,"R85",4.99737599892509,4.99737599892509,3.02006762883573,206
0,1995,"R26",4.82045481189319,4.82045481189319,2.8595207458459,206
0,1995,"R85",4.82045481189319,4.82045481189319,2.8595207458459,206
0,1996,"R26",4.89985411066694,4.89985411066694,3.04569758035141,206
0,1996,"R85",4.89985411066694,4.89985411066694,3.04569758035141,206
0,1997,"R26",4.69891882236311,4.69891882236311,2.91398424650459,206
0,1997,"R85",4.69891882236311,4.69891882236311,2.91398424650459,206
0,1998,"R26",4.53755378060791,4.53755378060791,2.88979889229725,206
0,1998,"R85",4.53755378060791,4.53755378060791,2.88979889229725,206
0,1999,"R26",4.44742000721646,4.44742000721646,2.88609634740895,206
0,1999,"R85",4.44742000721646,4.44742000721646,2.88609634740895,206
0,2000,"R26",4.49131014462439,4.49131014462439,2.9723119927084,206
