"species","RCP","OA","meanRangeDiff","meanRangePerCh"
690051,"R85","N",-1990.47333333331,-0.116649814483774
690051,"R85","Y",-1990.47333333331,-0.116649814483774
690052,"R85","N",283402.551393939,8.21062622936968
690052,"R85","Y",281611.458969697,8.15880884570571
690053,"R85","N",83784.1774545456,3.36520566205547
690053,"R85","Y",82868.0253333335,3.32832664121749
690054,"R85","N",59579.5766060606,6.96161839710197
690054,"R85","Y",59605.7835757576,6.96468074655363
690055,"R85","N",-1427474.21151515,-22.8170021165909
690055,"R85","Y",-1435389.42778788,-22.9858494381502
690059,"R85","N",-2393386.72451515,-70.1277048449003
690059,"R85","Y",-2416060.80390909,-70.7874119253803
690060,"R85","N",-881823.617515152,-13.5145932817389
690060,"R85","Y",-1001007.26963636,-15.1367780481508
690064,"R85","N",-48598.6168181818,-8.49587589382009
690064,"R85","Y",-109133.241666667,-19.1193275285908
690065,"R85","N",95757.2852121212,10.06678656014
690065,"R85","Y",81597.9297575758,8.45175067840223
690067,"R85","N",-98385.0505757576,-19.5153160912245
690067,"R85","Y",-98385.0505757576,-19.5153160912245
690069,"R85","N",-23831.3746060606,-28.578619734213
690069,"R85","Y",-23660.2679393939,-28.3776302930929
690070,"R85","N",-35888.5669696969,-2.84032054661565
690070,"R85","Y",-43812.5093333332,-3.40465027618448
690071,"R85","N",-75058.713,-2.51822681987131
690071,"R85","Y",-75418.5414848486,-2.53028378411615
690075,"R85","N",20642.8034242425,1.46341276161067
690075,"R85","Y",20434.3833636364,1.44880257383053
690076,"R85","N",110972.891454545,25.7326874832982
690076,"R85","Y",109773.73630303,25.4545812484201
690077,"R85","N",-6596.383,-11.1533262488205
690077,"R85","Y",-6596.383,-11.1533262488205
690078,"R85","N",28324.5078484848,6.85428061281915
690078,"R85","Y",27556.069969697,6.67097738077561
690081,"R85","N",30586.5475757576,3.45540408221949
690081,"R85","Y",30332.0863636363,3.42733996902457
690082,"R85","N",-23.5036666666662,-0.0106062941200853
690082,"R85","Y",-23.5036666666662,-0.0106062941200853
690085,"R85","N",-684875.496939394,-17.5942014972675
690085,"R85","Y",-690218.489969697,-17.7316029746141
690087,"R85","N",103673.21369697,8.93077603003823
690087,"R85","Y",99046.1052121212,8.53216123311119
690088,"R85","N",-582765.932636363,-5.06382630086871
690088,"R85","Y",-583721.285424242,-5.07185977850052
690089,"R85","N",-143017.072333333,-15.7832337323975
690089,"R85","Y",-143647.172939394,-15.8538405743889
