"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,1975,"R85",-0.0265157172115343,-0.0265157172115343,-0.00177728338916146,206
0,1976,"R26",-0.050390348791218,-0.050390348791218,-0.00268419262396876,206
0,1976,"R85",-0.0313232071426191,-0.0313232071426191,-0.0026904312464097,206
0,1977,"R26",-0.0535640547240568,-0.0535640547240568,-0.00430977961444305,206
0,1977,"R85",-0.0344802033151963,-0.0344802033151963,-0.00430977961444305,206
0,1978,"R26",-0.0599143811626615,-0.0599143811626615,-0.00543254637799073,206
0,1978,"R85",-0.0406365696244031,-0.0406365696244031,-0.0054325463404145,206
0,1979,"R26",-0.0690060680129402,-0.0690060680129402,-0.00790365624875919,206
0,1979,"R85",-0.0497050070355573,-0.0497050070355573,-0.00790365624875919,206
0,1980,"R26",-0.0816231884207517,-0.0816231884207517,-0.0150255239152296,206
0,1980,"R85",-0.0619807519886222,-0.0619807519886222,-0.0150255244985276,206
0,1981,"R26",-0.0927514055999062,-0.0927514055999062,-0.0209677745427494,206
0,1981,"R85",-0.072898021592767,-0.072898021592767,-0.0208163654207829,206
0,1982,"R26",-0.113608866252939,-0.113608866252939,-0.0291769370322124,206
0,1982,"R85",-0.0937313305051513,-0.0937313305051513,-0.0290948524395575,206
0,1983,"R26",-0.138481113150979,-0.138481113150979,-0.0442185180013036,206
0,1983,"R85",-0.118545185003683,-0.118545185003683,-0.0436084649694033,206
0,1984,"R26",-0.159354732113421,-0.159354732113421,-0.0598551602739105,206
0,1984,"R85",-0.139455872191789,-0.139455872191789,-0.0596330822266639,206
0,1985,"R26",-0.184038466506926,-0.184038466506926,-0.0762966409607758,206
0,1985,"R85",-0.165038750889082,-0.165038750889082,-0.0762159054576139,206
0,1986,"R26",-0.214034570730708,-0.214034570730708,-0.090649926512052,206
0,1986,"R85",-0.195016288455224,-0.195016288455224,-0.090649926512052,206
0,1987,"R26",-0.23931774752825,-0.23931774752825,-0.0937480274504615,206
0,1987,"R85",-0.220783580347869,-0.220783580347869,-0.0933767074915643,206
0,1988,"R26",-0.262568904164148,-0.262568904164148,-0.101729819299237,206
0,1988,"R85",-0.244178281223622,-0.244178281223622,-0.101513737145211,206
0,1989,"R26",-0.308180248580553,-0.308180248580553,-0.128479636288419,206
0,1989,"R85",-0.28970949165382,-0.28970949165382,-0.12810501039066,206
0,1990,"R26",-0.339042265630428,-0.339042265630428,-0.142324841962922,206
0,1990,"R85",-0.320435487697385,-0.320435487697385,-0.142324841962922,206
0,1991,"R26",-0.368596077692024,-0.368596077692024,-0.160929140969872,206
0,1991,"R85",-0.349759739870723,-0.349759739870723,-0.160929140969872,206
0,1992,"R26",-0.391140884109845,-0.391140884109845,-0.169769543441108,206
0,1992,"R85",-0.37194189085568,-0.37194189085568,-0.169769537739273,206
0,1993,"R26",-0.412127461293739,-0.412127461293739,-0.176010099392726,206
